,Region,Sex,Year,MortalityRate,MortalityRate_Total,MortalityRate_Percentage
138,Europe,Female,2006,9.044150943396225,579.4611320754717,1.5496226415094339
139,Europe,Female,2007,8.550188679245283,579.4611320754717,1.4747169811320755
140,Europe,Female,2008,8.098867924528301,579.4611320754717,1.4052830188679246
141,Europe,Female,2009,7.6899999999999995,579.4611320754717,1.3439622641509434
142,Europe,Female,2010,7.3164150943396224,579.4611320754717,1.2871698113207546
143,Europe,Female,2011,6.983018867924529,579.4611320754717,1.2377358490566037
144,Europe,Female,2012,6.689056603773585,579.4611320754717,1.1945283018867925
145,Europe,Female,2013,6.433018867924528,579.4611320754717,1.1562264150943395
146,Europe,Female,2014,6.2039622641509435,579.4611320754717,1.1237735849056605
147,Europe,Female,2015,5.996603773584906,579.4611320754717,1.0933962264150945
148,Europe,Female,2016,5.79811320754717,579.4611320754717,1.0637735849056604
149,Europe,Female,2017,5.607924528301887,579.4611320754717,1.0341509433962264
150,Europe,Female,2018,5.426037735849056,579.4611320754717,1.0045283018867925
151,Europe,Female,2019,5.254150943396227,579.4611320754717,0.9758490566037735
152,Europe,Female,2020,5.105094339622641,579.4611320754717,0.950188679245283
153,Europe,Female,2021,4.966603773584906,579.4611320754717,0.9254716981132075
154,Europe,Male,2000,15.886603773584905,579.4611320754717,2.5935849056603777
155,Europe,Male,2001,15.046037735849058,579.4611320754717,2.4632075471698114
156,Europe,Male,2002,14.228301886792453,579.4611320754717,2.3407547169811322
157,Europe,Male,2003,13.45377358490566,579.4611320754717,2.2243396226415095
158,Europe,Male,2004,12.710566037735848,579.4611320754717,2.11188679245283
159,Europe,Male,2005,12.001698113207548,579.4611320754717,2.0045283018867925
160,Europe,Male,2006,11.324528301886794,579.4611320754717,1.9015094339622642
161,Europe,Male,2007,10.69811320754717,579.4611320754717,1.8071698113207548
162,Europe,Male,2008,10.125849056603773,579.4611320754717,1.720188679245283
163,Europe,Male,2009,9.601509433962264,579.4611320754717,1.6411320754716983
164,Europe,Male,2010,9.125660377358491,579.4611320754717,1.569811320754717
165,Europe,Male,2011,8.700188679245283,579.4611320754717,1.5069811320754718
166,Europe,Male,2012,8.32433962264151,579.4611320754717,1.451320754716981
167,Europe,Male,2013,7.998867924528302,579.4611320754717,1.4052830188679246
168,Europe,Male,2014,7.711132075471698,579.4611320754717,1.3652830188679246
169,Europe,Male,2015,7.447735849056604,579.4611320754717,1.3266037735849057
170,Europe,Male,2016,7.193962264150943,579.4611320754717,1.289433962264151
171,Europe,Male,2017,6.953584905660378,579.4611320754717,1.2528301886792454
172,Europe,Male,2018,6.722452830188679,579.4611320754717,1.2160377358490566
173,Europe,Male,2019,6.513018867924528,579.4611320754717,1.181509433962264
174,Europe,Male,2020,6.320943396226415,579.4611320754717,1.149056603773585
175,Europe,Male,2021,6.149811320754717,579.4611320754717,1.1186792452830188
176,South-East Asia,Female,2000,46.093636363636364,2123.439090909091,2.233636363636364
177,South-East Asia,Female,2001,43.79545454545455,2123.439090909091,2.1045454545454545
178,South-East Asia,Female,2002,41.60363636363636,2123.439090909091,1.9854545454545454
179,South-East Asia,Female,2003,39.594545454545454,2123.439090909091,1.8772727272727272
180,South-East Asia,Female,2004,38.408181818181816,2123.439090909091,1.8663636363636364
181,South-East Asia,Female,2005,35.99636363636363,2123.439090909091,1.6909090909090911
182,South-East Asia,Female,2006,34.41818181818182,2123.439090909091,1.61
183,South-East Asia,Female,2007,32.980909090909094,2123.439090909091,1.5381818181818183
184,South-East Asia,Female,2008,32.61909090909091,2123.439090909091,1.5036363636363637
185,South-East Asia,Female,2009,30.59272727272727,2123.439090909091,1.4554545454545453
186,South-East Asia,Female,2010,28.995454545454546,2123.439090909091,1.3445454545454547
187,South-East Asia,Female,2011,27.73818181818182,2123.439090909091,1.2836363636363637
188,South-East Asia,Female,2012,26.53818181818182,2123.439090909091,1.2227272727272727
189,South-East Asia,Female,2013,25.4,2123.439090909091,1.1663636363636363
190,South-East Asia,Female,2014,24.318181818181817,2123.439090909091,1.1118181818181818
191,South-East Asia,Female,2015,23.292727272727276,2123.439090909091,1.0609090909090908
192,South-East Asia,Female,2016,22.312727272727273,2123.439090909091,1.0118181818181817
193,South-East Asia,Female,2017,21.382727272727273,2123.439090909091,0.9663636363636364
194,South-East Asia,Female,2018,20.521818181818183,2123.439090909091,0.9254545454545454
195,South-East Asia,Female,2019,19.687272727272727,2123.439090909091,0.8863636363636364
196,South-East Asia,Female,2020,18.84181818181818,2123.439090909091,0.8463636363636364
197,South-East Asia,Female,2021,18.052727272727275,2123.439090909091,0.8081818181818182
198,South-East Asia,Male,2000,53.376363636363635,2123.439090909091,2.6354545454545453
199,South-East Asia,Male,2001,50.68363636363636,2123.439090909091,2.4863636363636363
200,South-East Asia,Male,2002,48.120909090909095,2123.439090909091,2.3436363636363637
201,South-East Asia,Male,2003,45.75090909090909,2123.439090909091,2.213636363636364
202,South-East Asia,Male,2004,44.440000000000005,2123.439090909091,2.19
203,South-East Asia,Male,2005,41.768181818181816,2123.439090909091,1.999090909090909
204,South-East Asia,Male,2006,40.03636363636363,2123.439090909091,1.9063636363636363
205,South-East Asia,Male,2007,38.38181818181818,2123.439090909091,1.8227272727272728
206,South-East Asia,Male,2008,37.848181818181814,2123.439090909091,1.7745454545454544
207,South-East Asia,Male,2009,35.64363636363636,2123.439090909091,1.7199999999999998
208,South-East Asia,Male,2010,33.81272727272727,2123.439090909091,1.5945454545454545
209,South-East Asia,Male,2011,32.39909090909091,2123.439090909091,1.521818181818182
210,South-East Asia,Male,2012,31.017272727272726,2123.439090909091,1.4527272727272729
211,South-East Asia,Male,2013,29.733636363636364,2123.439090909091,1.3845454545454545
212,South-East Asia,Male,2014,28.516363636363636,2123.439090909091,1.3236363636363637
213,South-East Asia,Male,2015,27.347272727272728,2123.439090909091,1.26
214,South-East Asia,Male,2016,26.243636363636366,2123.439090909091,1.2063636363636363
215,South-East Asia,Male,2017,25.188181818181818,2123.439090909091,1.1518181818181819
216,South-East Asia,Male,2018,24.188181818181818,2123.439090909091,1.1027272727272728
217,South-East Asia,Male,2019,23.251818181818184,2123.439090909091,1.0572727272727274
218,South-East Asia,Male,2020,22.294545454545457,2123.439090909091,1.0063636363636363
219,South-East Asia,Male,2021,21.38909090909091,2123.439090909091,0.9627272727272728
220,Western Pacific,Female,2000,24.317407407407405,1373.4018518518517,1.7818518518518518
221,Western Pacific,Female,2001,23.555185185185184,1373.4018518518517,1.7192592592592593
222,Western Pacific,Female,2002,22.87962962962963,1373.4018518518517,1.6674074074074074
223,Western Pacific,Female,2003,22.15037037037037,1373.4018518518517,1.6107407407407408
224,Western Pacific,Female,2004,21.549259259259262,1373.4018518518517,1.565185185185185
225,Western Pacific,Female,2005,21.005925925925926,1373.4018518518517,1.5225925925925925
226,Western Pacific,Female,2006,20.509999999999998,1373.4018518518517,1.4859259259259259
227,Western Pacific,Female,2007,20.040000000000003,1373.4018518518517,1.4492592592592592
228,Western Pacific,Female,2008,19.56,1373.4018518518517,1.4151851851851853
229,Western Pacific,Female,2009,19.15888888888889,1373.4018518518517,1.3888888888888888
230,Western Pacific,Female,2010,18.588148148148147,1373.4018518518517,1.348148148148148
231,Western Pacific,Female,2011,18.107407407407408,1373.4018518518517,1.3174074074074074
232,Western Pacific,Female,2012,17.63851851851852,1373.4018518518517,1.2862962962962965
233,Western Pacific,Female,2013,17.177407407407408,1373.4018518518517,1.2562962962962965
234,Western Pacific,Female,2014,16.738518518518518,1373.4018518518517,1.228148148148148
235,Western Pacific,Female,2015,16.320740740740742,1373.4018518518517,1.2025925925925927
236,Western Pacific,Female,2016,15.921851851851851,1373.4018518518517,1.1781481481481482
237,Western Pacific,Female,2017,15.525925925925925,1373.4018518518517,1.152962962962963
238,Western Pacific,Female,2018,15.135555555555554,1373.4018518518517,1.1277777777777778
239,Western Pacific,Female,2019,14.753703703703705,1373.4018518518517,1.1011111111111112
240,Western Pacific,Female,2020,14.363333333333333,1373.4018518518517,1.0740740740740742
241,Western Pacific,Female,2021,13.973333333333334,1373.4018518518517,1.0451851851851852
